Wall time,Step,Value
1670329139.590058,210,1.0
1670329140.8997061,639,1.399999976158142
1670329142.906283,1287,1.3939393758773804
1670329143.801656,1578,1.5128204822540283
1670329143.976238,1638,1.5750000476837158
1670329145.630857,2148,1.7254902124404907
1670329145.7542331,2193,1.75
1670329146.1250072,2310,1.703703761100769
1670329146.5796502,2457,1.7241379022598267
1670329147.2346518,2676,1.7619047164916992
1670329147.7268522,2844,1.79104483127594
1670329148.399461,3048,1.7777777910232544
1670329149.4007921,3372,1.7407407760620117
1670329149.9125829,3570,1.8214285373687744
1670329150.288117,3687,1.8275861740112305
1670329151.6784132,4164,1.7755101919174194
1670329152.053341,4293,1.840000033378601
1670329152.385795,4416,1.840000033378601
1670329152.580479,4476,1.850000023841858
1670329153.887313,4890,1.8600000143051147
1670329154.176331,4986,1.850000023841858
1670329155.111232,5304,1.8700000047683716
1670329155.354149,5376,1.899999976158142
1670329155.540568,5439,1.8799999952316284
1670329155.6818361,5481,1.8600000143051147
1670329156.441278,5730,1.850000023841858
1670329158.327945,6372,1.7300000190734863
1670329159.434515,6732,1.7200000286102295
1670329159.682781,6819,1.7000000476837158
1670329160.423418,7068,1.7000000476837158
1670329162.031116,7620,1.6799999475479126
1670329163.472338,8103,1.7400000095367432
1670329163.5538828,8124,1.7000000476837158
1670329164.871913,8574,1.6399999856948853
1670329164.9205031,8589,1.6399999856948853
1670329165.996764,8952,1.6799999475479126
1670329166.257283,9027,1.659999966621399
1670329167.134637,9333,1.649999976158142
1670329167.415926,9408,1.7000000476837158
1670329168.587914,9777,1.7699999809265137
1670329169.882777,10182,1.7799999713897705
1670329170.674359,10446,1.7899999618530273
1670329170.952248,10536,1.7599999904632568
1670329171.276107,10635,1.7400000095367432
1670329173.7938519,11403,1.7000000476837158
1670329174.979315,11793,1.7000000476837158
1670329175.6628969,11994,1.690000057220459
1670329175.903445,12066,1.690000057220459
1670329177.05888,12396,1.6399999856948853
1670329178.036468,12696,1.6799999475479126
1670329178.512135,12858,1.7000000476837158
1670329178.7207968,12933,1.75
1670329179.794946,13284,1.7899999618530273
1670329179.9953358,13350,1.840000033378601
1670329181.309341,13773,1.809999942779541
1670329182.1314402,14073,1.8600000143051147
1670329183.6500962,14532,1.909999966621399
1670329183.740248,14556,1.909999966621399
1670329183.936935,14604,1.899999976158142
1670329184.664438,14850,1.8700000047683716
1670329186.279988,15393,1.9600000381469727
1670329186.690581,15519,2.0399999618530273
1670329187.562665,15777,1.909999966621399
1670329187.6539671,15810,1.909999966621399
1670329188.1855621,15987,1.940000057220459
1670329188.323873,16032,1.9600000381469727
1670329188.8291972,16182,1.9299999475479126
1670329191.436192,17031,2.0199999809265137
1670329191.6066291,17079,2.0199999809265137
1670329191.723077,17106,1.9800000190734863
1670329191.838151,17145,2.009999990463257
1670329192.109281,17235,1.9900000095367432
1670329192.304488,17307,1.9800000190734863
1670329193.8488681,17811,1.940000057220459
1670329193.9592378,17835,1.9700000286102295
1670329194.20386,17910,1.940000057220459
1670329194.359345,17955,1.940000057220459
1670329194.694974,18069,1.9299999475479126
1670329195.2570639,18228,1.9299999475479126
1670329195.417373,18276,1.9299999475479126
1670329196.1152298,18486,1.940000057220459
1670329196.535556,18612,1.940000057220459
1670329197.1739578,18810,1.9299999475479126
1670329197.3707478,18870,1.9299999475479126
1670329197.912014,19038,1.9199999570846558
1670329199.5539231,19551,1.9500000476837158
1670329200.2248378,19740,1.909999966621399
1670329200.585075,19842,1.9199999570846558
1670329200.734244,19890,1.9299999475479126
1670329202.501958,20466,1.909999966621399
1670329203.34438,20754,1.8300000429153442
1670329203.770159,20889,1.7999999523162842
1670329203.8401458,20913,1.7999999523162842
1670329204.6628668,21198,1.809999942779541
1670329205.222955,21378,1.7899999618530273
1670329205.305527,21405,1.7999999523162842
1670329206.830121,21900,1.7799999713897705
1670329207.846188,22221,1.7799999713897705
1670329208.61123,22476,1.7699999809265137
1670329208.675356,22497,1.7699999809265137
1670329210.379583,23049,1.7599999904632568
1670329210.5650718,23106,1.7699999809265137
1670329213.8731542,24081,1.809999942779541
1670329214.2331781,24186,1.850000023841858
1670329214.5775192,24282,1.8200000524520874
1670329214.810438,24342,1.7799999713897705
1670329216.2299469,24786,1.850000023841858
1670329218.5538251,25500,1.9700000286102295
1670329219.6558359,25848,1.9299999475479126
1670329219.788863,25890,1.9199999570846558
1670329220.365508,26076,1.909999966621399
1670329220.863609,26232,1.8200000524520874
1670329222.4645529,26796,1.850000023841858
1670329222.602598,26844,1.8700000047683716
1670329222.768061,26886,1.8899999856948853
1670329223.8995562,27252,1.840000033378601
1670329225.305233,27726,1.909999966621399
1670329227.90347,28557,1.9199999570846558
1670329228.7596211,28842,1.850000023841858
1670329229.2287612,28980,1.850000023841858
1670329230.795383,29463,1.7999999523162842
1670329232.0377889,29877,1.8200000524520874
1670329232.4184341,29985,1.7799999713897705
1670329235.351979,30918,1.7899999618530273
1670329235.518803,30963,1.7400000095367432
1670329236.5969841,31302,1.7599999904632568
1670329237.395519,31566,1.7799999713897705
1670329238.700556,31983,1.7200000286102295
1670329242.6511621,33270,1.8300000429153442
1670329243.0095081,33390,1.8300000429153442
1670329243.264288,33483,1.850000023841858
1670329244.243005,33753,1.7699999809265137
1670329245.084383,34032,1.7999999523162842
1670329245.593808,34215,1.8899999856948853
1670329245.789428,34272,1.8899999856948853
1670329246.720393,34581,1.9199999570846558
1670329248.533679,35181,1.899999976158142
1670329249.672423,35529,1.7999999523162842
1670329249.7300239,35547,1.7999999523162842
1670329249.979228,35637,1.7599999904632568
1670329250.4174201,35799,1.7799999713897705
1670329251.273803,36093,1.8200000524520874
1670329252.498205,36492,1.809999942779541
1670329252.914895,36636,1.8200000524520874
1670329253.0954828,36684,1.7899999618530273
1670329253.326043,36753,1.75
1670329253.559339,36837,1.7599999904632568
1670329253.728959,36882,1.7899999618530273
1670329254.658611,37170,1.690000057220459
1670329255.0708458,37308,1.6699999570846558
1670329255.763115,37503,1.6100000143051147
1670329255.934659,37548,1.6299999952316284
1670329256.574008,37749,1.6799999475479126
1670329257.223747,37965,1.6299999952316284
1670329257.592215,38079,1.5499999523162842
1670329257.720246,38127,1.5299999713897705
1670329259.313579,38661,1.6399999856948853
1670329260.511623,39033,1.7000000476837158
1670329260.7427788,39114,1.7000000476837158
1670329260.8843799,39162,1.7200000286102295
1670329261.620301,39405,1.7999999523162842
1670329262.515347,39711,1.899999976158142
1670329262.594431,39735,1.9199999570846558
1670329264.548224,40410,1.899999976158142
1670329264.899179,40527,1.9299999475479126
1670329265.4416971,40710,1.8899999856948853
1670329267.343576,41343,1.8899999856948853
1670329267.843411,41520,1.8899999856948853
1670329267.957504,41544,1.899999976158142
1670329268.13577,41610,1.899999976158142
1670329268.4150112,41694,1.9199999570846558
1670329268.8206851,41820,1.9299999475479126
1670329269.368736,41985,1.8799999952316284
1670329269.7348979,42093,1.8600000143051147
1670329270.272203,42270,1.8799999952316284
1670329270.935148,42495,1.850000023841858
1670329271.763436,42762,1.7699999809265137
1670329272.685042,43086,1.7699999809265137
1670329273.421015,43329,1.7300000190734863
1670329274.314292,43620,1.659999966621399
1670329275.046187,43833,1.6699999570846558
1670329275.348125,43929,1.649999976158142
1670329275.4530969,43959,1.6200000047683716
1670329277.5618932,44586,1.6399999856948853
1670329279.0483131,45027,1.659999966621399
1670329279.404041,45135,1.6299999952316284
1670329280.446635,45489,1.6100000143051147
1670329280.5119302,45510,1.6100000143051147
1670329280.8336692,45615,1.600000023841858
1670329284.264117,46677,1.4700000286102295
1670329286.4968529,47409,1.4900000095367432
1670329286.5664499,47430,1.4900000095367432
1670329288.299646,48024,1.440000057220459
1670329288.423229,48069,1.4600000381469727
1670329288.680835,48144,1.4900000095367432
1670329290.192721,48684,1.600000023841858
1670329290.3611462,48726,1.6200000047683716
1670329291.464372,49086,1.659999966621399
1670329291.773149,49194,1.6399999856948853
1670329292.211275,49341,1.690000057220459
1670329293.025462,49608,1.7100000381469727
1670329293.912139,49917,1.7999999523162842
1670329294.021127,49947,1.840000033378601
1670329294.790536,50058,1.850000023841858
1670329295.624595,50157,1.850000023841858
1670329299.194369,50550,1.9700000286102295
1670329302.3519511,50913,2.0799999237060547
1670329305.1809762,51237,2.190000057220459
1670329306.019841,51333,2.190000057220459
1670329310.034228,51801,2.190000057220459
1670329311.12231,51927,2.2200000286102295
1670329312.61681,52098,2.2899999618530273
1670329313.4747891,52194,2.299999952316284
1670329315.905396,52476,2.2300000190734863
1670329319.440094,52896,2.299999952316284
1670329320.8929222,53064,2.2200000286102295
1670329321.493289,53130,2.2300000190734863
1670329328.3524349,53907,2.240000009536743
1670329330.215932,54120,2.130000114440918
1670329331.1151,54219,2.0999999046325684
1670329334.9458618,54675,2.25
1670329336.388316,54834,2.119999885559082
